Open Time,Open,High,Low,Close,Close Time
2022-09-14 23:17:00,208.84000000,208.84000000,208.72000000,208.72000000,2022-09-14 23:17:59.999
2022-09-14 23:18:00,208.72000000,208.72000000,207.96000000,208.20000000,2022-09-14 23:18:59.999
2022-09-14 23:19:00,208.19000000,208.26000000,208.16000000,208.16000000,2022-09-14 23:19:59.999
2022-09-14 23:20:00,208.22000000,208.23000000,208.08000000,208.23000000,2022-09-14 23:20:59.999
2022-09-14 23:21:00,208.22000000,208.22000000,208.13000000,208.13000000,2022-09-14 23:21:59.999
2022-09-14 23:22:00,208.18000000,208.31000000,208.08000000,208.08000000,2022-09-14 23:22:59.999
2022-09-14 23:23:00,208.00000000,208.00000000,207.72000000,207.85000000,2022-09-14 23:23:59.999
2022-09-14 23:24:00,207.85000000,208.00000000,207.74000000,207.85000000,2022-09-14 23:24:59.999
2022-09-14 23:25:00,207.88000000,207.88000000,207.86000000,207.86000000,2022-09-14 23:25:59.999
2022-09-14 23:26:00,207.90000000,207.90000000,207.82000000,207.82000000,2022-09-14 23:26:59.999
2022-09-14 23:27:00,207.82000000,207.82000000,207.82000000,207.82000000,2022-09-14 23:27:59.999
2022-09-14 23:28:00,207.80000000,207.80000000,207.80000000,207.80000000,2022-09-14 23:28:59.999
2022-09-14 23:29:00,207.83000000,207.85000000,207.83000000,207.85000000,2022-09-14 23:29:59.999
2022-09-14 23:30:00,207.73000000,207.73000000,207.61000000,207.61000000,2022-09-14 23:30:59.999
2022-09-14 23:31:00,207.60000000,207.70000000,207.51000000,207.70000000,2022-09-14 23:31:59.999
2022-09-14 23:32:00,207.67000000,207.67000000,207.67000000,207.67000000,2022-09-14 23:32:59.999
2022-09-14 23:33:00,207.51000000,207.51000000,207.51000000,207.51000000,2022-09-14 23:33:59.999
2022-09-14 23:34:00,207.49000000,207.50000000,207.48000000,207.50000000,2022-09-14 23:34:59.999
2022-09-14 23:35:00,207.60000000,207.60000000,207.43000000,207.43000000,2022-09-14 23:35:59.999
2022-09-14 23:36:00,207.43000000,207.53000000,207.40000000,207.40000000,2022-09-14 23:36:59.999
2022-09-14 23:37:00,207.40000000,207.40000000,207.40000000,207.40000000,2022-09-14 23:37:59.999
2022-09-14 23:38:00,207.40000000,207.40000000,207.40000000,207.40000000,2022-09-14 23:38:59.999
2022-09-14 23:39:00,207.43000000,207.43000000,207.42000000,207.42000000,2022-09-14 23:39:59.999
2022-09-14 23:40:00,207.40000000,207.57000000,207.40000000,207.40000000,2022-09-14 23:40:59.999
2022-09-14 23:41:00,207.40000000,207.43000000,207.40000000,207.40000000,2022-09-14 23:41:59.999
2022-09-14 23:42:00,207.50000000,207.55000000,207.50000000,207.51000000,2022-09-14 23:42:59.999
2022-09-14 23:43:00,207.56000000,207.56000000,207.54000000,207.54000000,2022-09-14 23:43:59.999
2022-09-14 23:44:00,207.54000000,207.54000000,207.54000000,207.54000000,2022-09-14 23:44:59.999
2022-09-14 23:45:00,207.62000000,207.67000000,207.57000000,207.57000000,2022-09-14 23:45:59.999
2022-09-14 23:46:00,207.48000000,207.48000000,207.45000000,207.45000000,2022-09-14 23:46:59.999
2022-09-14 23:47:00,207.44000000,207.48000000,207.44000000,207.48000000,2022-09-14 23:47:59.999
2022-09-14 23:48:00,207.37000000,207.37000000,206.23000000,206.59000000,2022-09-14 23:48:59.999
2022-09-14 23:49:00,206.47000000,206.53000000,206.20000000,206.20000000,2022-09-14 23:49:59.999
2022-09-14 23:50:00,206.25000000,206.25000000,206.25000000,206.25000000,2022-09-14 23:50:59.999
2022-09-14 23:51:00,206.26000000,206.47000000,206.26000000,206.47000000,2022-09-14 23:51:59.999
2022-09-14 23:52:00,206.68000000,206.71000000,206.47000000,206.47000000,2022-09-14 23:52:59.999
2022-09-14 23:53:00,206.47000000,206.81000000,206.47000000,206.81000000,2022-09-14 23:53:59.999
2022-09-14 23:54:00,206.71000000,206.71000000,206.61000000,206.62000000,2022-09-14 23:54:59.999
2022-09-14 23:55:00,206.56000000,206.56000000,206.35000000,206.35000000,2022-09-14 23:55:59.999
2022-09-14 23:56:00,206.23000000,206.37000000,206.18000000,206.37000000,2022-09-14 23:56:59.999
2022-09-14 23:57:00,206.33000000,206.35000000,206.29000000,206.29000000,2022-09-14 23:57:59.999
2022-09-14 23:58:00,206.28000000,206.45000000,206.28000000,206.38000000,2022-09-14 23:58:59.999
2022-09-14 23:59:00,206.38000000,206.50000000,206.37000000,206.50000000,2022-09-14 23:59:59.999
2022-09-15 00:00:00,206.42000000,206.44000000,206.12000000,206.28000000,2022-09-15 00:00:59.999
2022-09-15 00:01:00,206.50000000,206.57000000,206.50000000,206.57000000,2022-09-15 00:01:59.999
2022-09-15 00:02:00,206.57000000,206.57000000,206.18000000,206.18000000,2022-09-15 00:02:59.999
2022-09-15 00:03:00,206.11000000,206.57000000,206.09000000,206.38000000,2022-09-15 00:03:59.999
2022-09-15 00:04:00,206.39000000,206.59000000,206.28000000,206.54000000,2022-09-15 00:04:59.999
2022-09-15 00:05:00,206.54000000,206.81000000,206.40000000,206.81000000,2022-09-15 00:05:59.999
2022-09-15 00:06:00,206.84000000,206.90000000,206.70000000,206.90000000,2022-09-15 00:06:59.999
2022-09-15 00:07:00,207.01000000,207.48000000,206.87000000,207.48000000,2022-09-15 00:07:59.999
2022-09-15 00:08:00,207.51000000,207.58000000,207.50000000,207.50000000,2022-09-15 00:08:59.999
2022-09-15 00:09:00,207.50000000,207.50000000,207.50000000,207.50000000,2022-09-15 00:09:59.999
2022-09-15 00:10:00,207.20000000,207.20000000,207.13000000,207.19000000,2022-09-15 00:10:59.999
2022-09-15 00:11:00,207.23000000,207.23000000,206.79000000,206.85000000,2022-09-15 00:11:59.999
2022-09-15 00:12:00,206.85000000,206.85000000,206.85000000,206.85000000,2022-09-15 00:12:59.999
2022-09-15 00:13:00,206.94000000,207.27000000,206.85000000,207.27000000,2022-09-15 00:13:59.999
2022-09-15 00:14:00,207.32000000,207.32000000,207.14000000,207.26000000,2022-09-15 00:14:59.999
2022-09-15 00:15:00,206.93000000,206.93000000,206.00000000,206.32000000,2022-09-15 00:15:59.999
2022-09-15 00:16:00,206.45000000,206.46000000,205.69000000,205.82000000,2022-09-15 00:16:59.999
2022-09-15 00:17:00,205.82000000,205.82000000,205.82000000,205.82000000,2022-09-15 00:17:59.999
